Role,Timestamp,Text
Interviewer,00:00:00,"Okay, I guess we can start. So, questionnaire, in-depth interview about democracy. Question one: before we start with the questions on society and politics, please tell us the number of your breakout room that you're currently in."
Respondent,00:00:25,It is a room number 5
Interviewer,00:00:28,"Room number in question two. Let's start. Please note that there are no right or wrong answers. We are just interested in your views. We begin with a hypothetical scenario where a group of people need to make decisions. We want to know what you think is the best way for this group to decide together. It's important to note that we are interested in the decision making process itself, not in what the final decision should be. Imagine a group of ten people are deciding where to have a dinner event. Seven people want to have this event at a Japanese sushi restaurant. Three people cannot eat sushi because they have fish allergies, and they want to have the event at the Italian restaurant instead. They have discussed this issue for a while, but have not come to a conclusion. How should the group decide what to do?"
Respondent,00:01:39,"I think, on the first hand, I would have secured that majority wins, so that the people have to do what the majority said. But on the other hand, since the three people and, in my opinion, have a valid reason to not go the sushi restaurant, which is, that it's sort of like they don't like it, but it's just it's a reason not to go there. And they maybe should or their decision should also be counted. So it's not entirely a majority vote anymore. So, if I were them, I would explored on possibilities so everybody is satisfied. Maybe they could go to a place where both Japanese and Italian food work, or they can talk about what people want to eat, actually. Maybe they go to a restaurant with the food and also the other food. Yeah. I think, I think that if they do fair break, people, who cannot go, should be included in the decision making. There should be like a veto right of the minority group. And then, based on, based on that and, let's say, on the remaining restaurants properties they should make a decision."
Interviewer,00:03:33,Okay. Question three: Can you think of other ways to make decisions apart from the method you just described? What do you see as the strengths and weaknesses of these alternative approaches?
Respondent,00:03:52,"So there can obviously be just a majority vote. So, whichever decision the majority made. It's gonna win. And I already said the weakness would be that some people are going to be veto it because they might have reasons why they cannot go to the restaurant. So. Yeah. Or they will have no possibility to participate in the group. Maybe, another approach would be to then everybody makes the list and great from 0 to 10 for which restaurant he or she wants to go. And then all are added up and the restaurant which has the highest number of rating is the chosen restaurant. But at the same time, this also does not include, does exclude people who have reasons or very specific reasons why they don't want to go to the that specific place."
Interviewer,00:05:18,Okay. Great. Question number four. Let's talk a bit about politics on a scale from one \-- not interested at all \-- to seven \-- very interested. How interested are you in politics?
Respondent,00:05:36,I would say two.
Interviewer,00:05:39,Okay. Two. Question number five. Can you elaborate and explain your level of interest in politics?
Respondent,00:05:50,"So, I would say it's a two because I regularly follow the news. I'm very interested in the decisions that politicians make. And I'm also interested in the implication that the decisions of politicians have, for example, on the economy or the society. It's nevertheless, it's not a one since I don't spend all day on it, so that's okay."
Interviewer,00:06:27,Great. Question number five. Can you elaborate and explain your level of interest in politics? Okay. This we did. We just did. Sorry.
Respondent,00:06:39,Yeah.
Interviewer,00:06:40,Question number six. And what do you think politics is? How would you define this term?
