Role,Timestamp,Text
Interviewer,00:00:01,"okay. Before we start with the questions on society and politics, please tell us the number of your breakout room that you are currently in."
Respondent,00:00:10,"We are in room number one."
Interviewer,00:00:12,"Okay. Let's start. Please note that there are no right or wrong answers. We are just interested in your views. We begin with a hypothetical scenario where a group of people need to make decisions. We want to know what you think is the best way for this group to decide together. It's important to know that we're interested in the decision making process itself, not in what the final decision should be. So the scenario is imagine a group of ten people are deciding where to have a dinner event. Seven people want to have the event at a Japanese sushi restaurant, and three people cannot eat sushi because they have fish allergies, and they want to have the event at an Italian restaurant instead. They have to discuss this issue for a while, but have not come to a conclusion. How do you think, the group should decide on what to do?"
Respondent,00:01:12,"The group should, take into consideration all the restraints that some people in the group have. If the ultimate goal of these ten people is to go to a restaurant together, they should find a restaurant where every one of these people can eat. So, in my opinion, they should clearly probably look at the menu and see if they can find some food in the sushi restaurant without fish. Or if not, then the other people need to respect minority here and help them with their problems and choose a different restaurant, even though they would prefer that."
Interviewer,00:02:09,"Okay. Can you also think of other ways to make decisions apart from the method you just described?"
Respondent,00:02:18,"Sure. Another easy decision will be just to vote. And then the majority decides where they want to go."
Interviewer,00:02:29,"And what do you think would be a strength and a weakness of this alternative approach that you just said?"
Respondent,00:02:39,"Well, compared to the easier method of just voting, a strength of my first described methods would be that there would not be any people left behind who possibly could not participate in this evening."
Interviewer,00:02:58,"And what could be a weakness?"
Respondent,00:03:00,"A weakness is that a majority of people might be slightly inconvenienced."
Interviewer,00:03:06,"Okay. And now we're going to talk a little bit about politics. On a scale from one \-- not interested at all \-- to seven. that is very interested. How interested are you in politics?"
Respondent,00:03:22,"About a 5 or 6."
Interviewer,00:03:25,"Okay. And can you elaborate and explain why your level of interest is a six in politics?"
Respondent,00:03:33,"Well, I think. So politics is the very broad term is of course like affects your life. Decisions that are made and politics can majorly influence your whole life. So, of course, it makes sense to have a certain interest in politics and how your country is governed. But I think it's also important to not be too invested in politics and not let that take up your whole life, because in the end, you cannot influence it to a very high degree. So I think for your own good, it's best to not overdo your interests in politics."
Interviewer,00:04:30,"So you already, kind of, said what politics is to you. How would you further describe this term?"
Respondent,00:04:42,"Yeah. It's a very vague term for me at this time to give straight definition. But of course, politics includes how your country is governed. Different? Yeah, I think I'll just leave it like that."
Interviewer,00:05:03,"Okay. So now think back to the last time you took part in an action that you considered political, whether it was a small or significant, act. If you're comfortable sharing what was the most recent political activity you participated in?"
Respondent,00:05:23,"Oh. Funny thing, because I don't think I really actively participate in many things that could be considered political. I mean, I guess, but let us take that question again. Took part in an action because of political, I guess, voting. Yeah. Sort of political."
Interviewer,00:05:52,"Yes."
Respondent,00:05:52,"So actually that's, that's the exact time it was, but obviously the last time I was allowed to vote on some kind of election."
Interviewer,00:06:00,"Okay. Yeah. Now we have a scenario again. So, consider a seven year old boy that decides to stop eating meat after watching a documentary on meat production, but his mother insists that he should continue to eat meat. Do you believe this situation raises a political issue within the family, and do you think they are discussing politics?"
Respondent,00:06:29,"I think with a seven year old boy, you can only discuss politics at a very rudimentary level, at such a young age. But I think meat consumption can be a political issue. That doesn't necessarily need to be. I think at our current situation, it probably is a political issue, but it is not inherently so. I think generally the consumption of meat can just be an ethical issue theoretically, without being a political one."
Interviewer,00:07:08,"Okay, let's move on with the next question. Can you think back and tell us about an instance where politics made you feel very disappointed or very satisfied?"
Respondent,00:07:22,"Sure. Looking at any election results often makes me very disappointed."
Interviewer,00:07:28,"Okay."
Respondent,00:07:29,"When I see all of the election polls for the next election, when I see the poll numbers, for example. So, the very right-wing parties, this can very disappointing."
