Role,Timestamp,Text
Interviewer,00:00:04,"Before we start with the questions on society and politics, please tell us the number of your breakout room that you are currently in."
Respondent,00:00:11,"I am in a breakout room two."
Interviewer,00:00:14,"Okay, thanks. Perfect. Let's start. Please note that there are no right or wrong answers. We are just interested in your views. We begin with a hypothetical scenario with where a group of people need to make decisions. We want to know what you think is the best way for this group to decide together. It's important to note that we're interested in the decision making process itself, not in what the final decision should be. Okay, imagine a group of ten people, are deciding where to have dinner event. Seven people want to have the event at a Japanese sushi restaurant. Three people cannot eat sushi because they have fish allergies. And they want to have the event at an Italian restaurant instead. They have discussed this issue but have not come to a conclusion. How should the group decide what to do?"
Respondent,00:01:06,"I think the first thing you might think is like, there are seven people I want to that want to go to the sushi restaurant, but only three to the Italian one. So maybe they should go to the sushi restaurant. But considering that three people have, like, allergies, they might be prior prioritized, over the other seven. So they might end up in the Italian restaurant because, yeah, that would be a suitable solution for everyone. Even though, yeah, seven people might not like it. Like, if they have allergies, maybe then that's another discussion. But yeah, I think that would be in general better for the whole group."
Interviewer,00:01:48,"Okay. Interesting. All right. Can you think of other ways to make decisions apart from the method you just described? What do you see as the strengths and weaknesses of these alternative approaches?"
Respondent,00:02:02,"Well, I think if they really can form an opinion that everyone is happy with, they just like split up the group and like one party goes to the one restaurant and the other to the other restaurant. But I think if they want to have it as a group event, that well wouldn't be a group event anymore, because not all ten people, or maybe then they can find a compromise and go to, I don't know, some other restaurant or a Mexican restaurant, and everyone is happy with that, I don't know."
Interviewer,00:02:37,"Okay. Perfect. I think you also talked about strengths and weaknesses of these approaches. Then we'll cover the next question. Yeah. Let's talk a bit about politics. On a scale from one, means not interested at all, to seven is very interested. How interested are you in politics?"
Respondent,00:03:02,"I would probably like 2 or 3. Not that interested."
Interviewer,00:03:06,"Okay. If you would need to decide for one number, is it more 2 or 3?"
Respondent,00:03:13,"Probably three."
Interviewer,00:03:15,"Okay, perfect. And can you elaborate and explain your level of interests in politics?"
Respondent,00:03:22,"I think, there always is a baseline interest because politics involves, like, my life. Kind of like I in the country, and they have politics. So, should always be a little bit of baseline interest like, what are the decisions and, like, going to, to vote or something, but, you know, for me, this, this interest doesn't go over this baseline. I just I'm not, yeah. Not too interested in all the details of politics."
Interviewer,00:04:01,"Okay, maybe a bit of a further questions to that. Why do you think that interest is not that deep in politics?"
Respondent,00:04:16,"Well, I think there's a lot of discussions, like it takes a long while till there are some decisions. So to be really interested in politics, like I'm not interested in all those discussions and like, there's over obviously like the law that is always a part of. Yeah. Of politics. Yeah. It's it's just too much, too much for me, but I'm not really interested to go too deep into it."
Interviewer,00:04:48,"Okay. Fine. Yeah. Yeah. And what do you think politics is? How would you define this term? I mean, you already talked about a bit bit about it, but maybe we could go more deep in it. And you try to define this term and say what you think politics is."
Respondent,00:05:09,"I think when you think of politics, you think of like the organization of a country and the organization of its population and trying to, yeah, make decisions for this population. Yeah. Trying to find the best decision."
Interviewer,00:05:29,"Okay. Do you think there's anything else for for defining politics or such, apart from what you just described?"
Respondent,00:05:41,"Yeah, I think it's a a lot of. Yeah. Discussing and finding decisions. Yeah."
Interviewer,00:05:46,"Okay. Yeah. Then we'll go to the next question. Yeah. Think back to the last time you took part in an action that you considered political. Whether it was a small or significant act. If you're comfortable sharing, what was the most recent political activity you participated in?"
Respondent,00:06:08,"I'm going to be honest. I'm not really participating in a lot of political activities, so it probably would be to vote."
Interviewer,00:06:17,"Okay. But. Yeah. Good. Yeah."
Respondent,00:06:23,"I can't really think of anything political."
Interviewer,00:06:26,"Yeah. That sounded a bit unsure about voting, but would you say voting is something political?"
Respondent,00:06:35,"Yeah, definitely. So, and that's the baseline of like our politics I would say."
Interviewer,00:06:42,"Okay."
Respondent,00:06:43,"So you have the right to vote"
Interviewer,00:06:45,"Yeah. All right. Then you say the last one was the, your last political action was voting. Okay. Then now consider a scenario where a seven year old boy decides to stop eating meat after watching a documentary on meat production, but his mother insists that he should continue to eat meat. Do you believe the situation raises a political issue within the family, and are they discussing politics?"
Respondent,00:07:17,"Well, if it's just I think as politics, as something more larger scale. Probably not. But, yeah, there are probably different kinds of politics, like family politics. And that would probably be a very like family political discussion."
Interviewer,00:07:38,"Okay. And do you think they're really discussing politics at the end of the day?"
